week_monday,first_day,last_day,n_days,n_half_days,n_suspicious,week_open,week_close,week_high,week_low,week_move_pct,full_week,mon_open,mon_close,mon_half_day,mon_move_pct
2010-06-07,2010-06-07,2010-06-11,5,0,0,1066.7500,1091.5000,1092.2500,1041.2500,2.3201,True,1066.7500,1049.7500,False,-1.5936
2010-06-14,2010-06-14,2010-06-18,5,0,0,1095.7500,1112.2500,1116.7500,1084.2500,1.5058,True,1095.7500,1085.5000,False,-0.9354
2010-06-21,2010-06-21,2010-06-25,5,0,0,1126.5000,1074.2500,1127.5000,1062.7500,-4.6383,True,1126.5000,1109.0000,False,-1.5535
2010-06-28,2010-06-28,2010-07-02,5,0,0,1075.5000,1017.2500,1078.5000,1006.0000,-5.4161,True,1075.5000,1070.0000,False,-0.5114
2010-07-05,2010-07-05,2010-07-09,5,1,0,1013.7500,1074.2500,1074.7500,1011.2500,5.9679,False,1013.7500,1012.0000,True,-0.1726
2010-07-12,2010-07-12,2010-07-16,5,0,0,1071.0000,1061.5000,1096.0000,1059.0000,-0.8870,True,1071.0000,1075.2500,False,0.3968
2010-07-19,2010-07-19,2010-07-23,5,0,0,1065.2500,1099.0000,1100.7500,1053.0000,3.1683,True,1065.2500,1068.2500,False,0.2816
2010-07-26,2010-07-26,2010-07-30,5,0,0,1100.7500,1098.0000,1117.7500,1084.5000,-0.2498,True,1100.7500,1110.7500,False,0.9085
2010-08-02,2010-08-02,2010-08-06,5,0,0,1114.5000,1118.5000,1126.0000,1103.7500,0.3589,True,1114.5000,1122.2500,False,0.6954
2010-08-09,2010-08-09,2010-08-13,5,0,0,1123.7500,1077.5000,1126.7500,1070.5000,-4.1157,True,1123.7500,1124.5000,False,0.0667
2010-08-16,2010-08-16,2010-08-20,5,0,0,1070.2500,1070.0000,1098.5000,1061.7500,-0.0234,True,1070.2500,1077.5000,False,0.6774
2010-08-23,2010-08-23,2010-08-27,5,0,0,1074.7500,1063.2500,1080.2500,1037.0000,-1.0700,True,1074.7500,1065.7500,False,-0.8374
2010-08-30,2010-08-30,2010-09-03,5,0,0,1060.2500,1103.7500,1104.5000,1039.2500,4.1028,True,1060.2500,1047.7500,False,-1.1790
2010-09-06,2010-09-06,2010-09-10,5,1,0,1106.0000,1109.7500,1111.5000,1089.7500,0.3391,False,1106.0000,1104.5000,True,-0.1356
2010-09-13,2010-09-13,2010-09-17,5,0,0,1115.2500,1120.2500,1126.7500,1109.0000,0.4483,True,1115.2500,1117.0000,False,0.1569
2010-09-20,2010-09-20,2010-09-24,5,0,0,1124.0000,1143.5000,1144.5000,1117.2500,1.7349,True,1124.0000,1137.7500,False,1.2233
2010-09-27,2010-09-27,2010-10-01,5,0,0,1144.0000,1141.2500,1153.5000,1127.2500,-0.2404,True,1144.0000,1138.2500,False,-0.5026
2010-10-04,2010-10-04,2010-10-08,5,0,0,1139.0000,1160.7500,1164.0000,1127.0000,1.9096,True,1139.0000,1132.7500,False,-0.5487
2010-10-11,2010-10-11,2010-10-15,5,0,0,1162.7500,1172.5000,1181.0000,1151.7500,0.8385,True,1162.7500,1162.0000,False,-0.0645
2010-10-18,2010-10-18,2010-10-22,5,0,0,1172.7500,1179.2500,1186.2500,1155.5000,0.5543,True,1172.7500,1180.7500,False,0.6822
2010-10-25,2010-10-25,2010-10-29,5,0,0,1186.7500,1180.2500,1193.0000,1167.7500,-0.5477,True,1186.7500,1182.2500,False,-0.3792
2010-11-01,2010-11-01,2010-11-05,5,0,0,1186.2500,1222.5000,1224.5000,1173.7500,3.0558,True,1186.2500,1181.0000,False,-0.4426
2010-11-08,2010-11-08,2010-11-12,5,0,0,1218.7500,1197.0000,1224.7500,1191.5000,-1.7846,True,1218.7500,1220.5000,False,0.1436
2010-11-15,2010-11-15,2010-11-19,5,0,0,1201.0000,1198.0000,1205.7500,1171.0000,-0.2498,True,1201.0000,1195.2500,False,-0.4788
2010-11-22,2010-11-22,2010-11-26,5,2,0,1192.0000,1183.2500,1200.5000,1174.7500,-0.7341,False,1192.0000,1196.5000,False,0.3775
2010-11-29,2010-11-29,2010-12-03,5,0,0,1179.7500,1223.7500,1225.5000,1172.2500,3.7296,True,1179.7500,1186.7500,False,0.5933
2010-12-06,2010-12-06,2010-12-10,5,0,0,1221.2500,1239.7500,1241.0000,1219.0000,1.5148,True,1221.2500,1222.2500,False,0.0819
2010-12-13,2010-12-13,2010-12-17,5,0,0,1240.5000,1239.7500,1242.2500,1227.5000,-0.0605,True,1240.5000,1235.5000,False,-0.4031
2010-12-20,2010-12-20,2010-12-23,4,0,0,1243.0000,1252.2500,1254.7500,1236.2500,0.7442,False,1243.0000,1242.2500,False,-0.0603
2010-12-27,2010-12-27,2010-12-31,5,0,0,1247.5000,1254.2500,1258.5000,1247.0000,0.5411,True,1247.5000,1253.0000,False,0.4409
2011-01-03,2011-01-03,2011-01-07,5,0,0,1263.2500,1267.5000,1274.5000,1257.7500,0.3364,True,1263.2500,1266.7500,False,0.2771
2011-01-10,2011-01-10,2011-01-14,5,0,0,1262.2500,1289.0000,1289.5000,1258.0000,2.1192,True,1262.2500,1266.2500,False,0.3169
2011-01-17,2011-01-17,2011-01-21,5,1,0,1284.2500,1280.2500,1292.5000,1267.5000,-0.3115,False,1284.2500,1285.2500,True,0.0779
2011-01-24,2011-01-24,2011-01-28,5,0,0,1279.0000,1273.0000,1299.5000,1271.0000,-0.4691,True,1279.0000,1287.5000,False,0.6646
2011-01-31,2011-01-31,2011-02-04,5,0,0,1276.5000,1307.2500,1308.0000,1273.2500,2.4089,True,1276.5000,1282.7500,False,0.4896
2011-02-07,2011-02-07,2011-02-11,5,0,0,1310.5000,1327.0000,1328.7500,1308.5000,1.2591,True,1310.5000,1315.5000,False,0.3815
2011-02-14,2011-02-14,2011-02-18,5,0,0,1326.0000,1341.5000,1342.7500,1322.2500,1.1689,True,1326.0000,1329.7500,False,0.2828
2011-02-21,2011-02-21,2011-02-25,5,1,0,1338.5000,1319.0000,1339.0000,1292.5000,-1.4569,False,1338.5000,1330.0000,True,-0.6350
2011-02-28,2011-02-28,2011-03-04,5,0,0,1323.7500,1320.2500,1332.5000,1301.5000,-0.2644,True,1323.7500,1327.2500,False,0.2644
2011-03-07,2011-03-07,2011-03-11,5,0,0,1324.2500,1303.7500,1327.2500,1290.2500,-1.5480,True,1324.2500,1309.7500,False,-1.0950
2011-03-14,2011-03-14,2011-03-18,5,0,0,1290.5000,1273.7500,1295.2500,1243.2500,-1.2979,True,1290.5000,1291.5000,False,0.0775
2011-03-21,2011-03-21,2011-03-25,5,0,0,1289.5000,1308.2500,1314.5000,1279.0000,1.4541,True,1289.5000,1293.0000,False,0.2714
2011-03-28,2011-03-28,2011-04-01,5,0,0,1311.5000,1327.2500,1333.7500,1300.2500,1.2009,True,1311.5000,1305.5000,False,-0.4575
2011-04-04,2011-04-04,2011-04-08,5,0,0,1330.2500,1323.7500,1335.7500,1318.7500,-0.4886,True,1330.2500,1328.5000,False,-0.1316
2011-04-11,2011-04-11,2011-04-15,5,0,0,1325.7500,1316.2500,1330.2500,1298.2500,-0.7166,True,1325.7500,1320.0000,False,-0.4337
2011-04-18,2011-04-18,2011-04-21,4,0,0,1301.2500,1333.0000,1334.0000,1290.2500,2.4400,False,1301.2500,1301.0000,False,-0.0192
2011-04-25,2011-04-25,2011-04-29,5,0,0,1332.0000,1360.0000,1361.0000,1327.2500,2.1021,True,1332.0000,1331.5000,False,-0.0375
2011-05-02,2011-05-02,2011-05-06,5,0,0,1365.7500,1337.0000,1367.2500,1325.2500,-2.1051,True,1365.7500,1357.5000,False,-0.6041
2011-05-09,2011-05-09,2011-05-13,5,0,0,1337.0000,1335.2500,1356.5000,1328.7500,-0.1309,True,1337.0000,1342.2500,False,0.3927
2011-05-16,2011-05-16,2011-05-20,5,0,0,1331.0000,1331.2500,1345.5000,1316.0000,0.0188,True,1331.0000,1327.0000,False,-0.3005
2011-05-23,2011-05-23,2011-05-27,5,0,0,1315.0000,1330.0000,1333.7500,1308.7500,1.1407,True,1315.0000,1315.5000,False,0.0380
2011-05-30,2011-05-30,2011-06-03,5,1,0,1331.7500,1299.0000,1344.2500,1295.5000,-2.4592,False,1331.7500,1330.5000,True,-0.0939
2011-06-06,2011-06-06,2011-06-10,5,0,0,1295.7500,1269.7500,1298.2500,1267.0000,-2.0066,True,1295.7500,1285.2500,False,-0.8103
2011-06-13,2011-06-13,2011-06-17,5,0,0,1268.0000,1266.2500,1287.0000,1252.2500,-0.1380,True,1268.0000,1266.2500,False,-0.1380
2011-06-20,2011-06-20,2011-06-24,5,0,0,1261.7500,1263.2500,1293.7500,1257.0000,0.1189,True,1261.7500,1272.7500,False,0.8718
2011-06-27,2011-06-27,2011-07-01,5,0,0,1264.2500,1334.7500,1336.5000,1261.7500,5.5764,True,1264.2500,1274.7500,False,0.8305
2011-07-04,2011-07-04,2011-07-08,5,1,0,1332.5000,1339.7500,1352.7500,1326.5000,0.5441,False,1332.5000,1333.7500,True,0.0938
2011-07-11,2011-07-11,2011-07-15,5,0,0,1323.0000,1312.2500,1327.7500,1302.0000,-0.8125,True,1323.0000,1315.0000,False,-0.6047
2011-07-18,2011-07-18,2011-07-22,5,0,0,1306.2500,1341.0000,1343.5000,1291.2500,2.6603,True,1306.2500,1301.0000,False,-0.4019
2011-07-25,2011-07-25,2011-07-29,5,0,0,1328.2500,1288.2500,1340.2500,1278.5000,-3.0115,True,1328.2500,1333.7500,False,0.4141
2011-08-01,2011-08-01,2011-08-05,5,0,0,1303.2500,1195.0000,1304.7500,1163.2500,-8.3062,True,1303.2500,1282.7500,False,-1.5730
2011-08-08,2011-08-08,2011-08-12,5,0,0,1164.0000,1176.2500,1186.7500,1097.0000,1.0524,True,1164.0000,1117.0000,False,-4.0378
2011-08-15,2011-08-15,2011-08-19,5,0,0,1186.5000,1121.2500,1206.7500,1119.0000,-5.4994,True,1186.5000,1201.2500,False,1.2432
2011-08-22,2011-08-22,2011-08-26,5,0,0,1146.0000,1174.0000,1188.5000,1118.5000,2.4433,True,1146.0000,1122.0000,False,-2.0942
2011-08-29,2011-08-29,2011-09-02,5,0,0,1189.7500,1172.7500,1229.7500,1168.5000,-1.4289,True,1189.7500,1208.0000,False,1.5339
2011-09-05,2011-09-05,2011-09-09,5,1,0,1152.5000,1153.0000,1203.7500,1138.0000,0.0434,False,1152.5000,1145.5000,True,-0.6074
2011-09-12,2011-09-12,2011-09-16,5,0,0,1133.2500,1209.7500,1214.5000,1128.7500,6.7505,True,1133.2500,1155.7500,False,1.9854
2011-09-19,2011-09-19,2011-09-23,5,0,0,1189.5000,1128.2500,1214.5000,1106.7500,-5.1492,True,1189.5000,1197.7500,False,0.6936
