date,row,action,start_reason,overlap,poc_pos,bimodal,va_sym,comp_id,comp_start,comp_days,comp_high,comp_low,comp_poc,comp_vah,comp_val,ref_source,ref_days,ref_high,ref_low,ref_poc,ref_vah,ref_val,open_location_ref
2010-06-07,0.75,start,first,,,,,1,2010-06-07,1,1070.75,1048.75,1061.25,1069.50,1058.25,none,0,,,,,,
2010-06-08,0.75,start,migration,0.00,,,,2,2010-06-08,1,1063.25,1041.25,1051.50,1056.75,1047.00,day,1,1070.75,1048.75,1061.25,1069.50,1058.25,below_value
2010-06-09,0.75,start,migration,0.00,,,,3,2010-06-09,1,1077.75,1051.25,1068.75,1077.00,1062.75,day,1,1063.25,1041.25,1051.50,1056.75,1047.00,above_range
2010-06-10,0.75,start,migration,0.46,,,,4,2010-06-10,1,1087.75,1071.75,1077.00,1082.25,1072.50,day,1,1077.75,1051.25,1068.75,1077.00,1062.75,in_value
2010-06-11,0.75,start,migration,0.22,,,,5,2010-06-11,1,1092.25,1076.00,1083.75,1087.50,1080.75,day,1,1087.75,1071.75,1077.00,1082.25,1072.50,in_value
2010-06-14,0.75,start,roll,,,,,6,2010-06-14,1,1101.75,1084.25,1092.00,1098.75,1090.50,none,0,,,,,,
2010-06-15,0.75,start,migration,0.35,,,,7,2010-06-15,1,1111.50,1091.25,1098.75,1107.00,1094.25,day,1,1101.75,1084.25,1092.00,1098.75,1090.50,in_value
2010-06-16,0.75,start,migration,0.22,,,,8,2010-06-16,1,1114.75,1102.50,1110.00,1112.25,1105.50,day,1,1111.50,1091.25,1098.75,1107.00,1094.25,in_value
2010-06-17,0.75,added,,0.67,0.42,False,0.43,8,2010-06-16,2,1114.75,1100.75,1106.25,1111.50,1104.75,day,1,1114.75,1102.50,1110.00,1112.25,1105.50,above_value
2010-06-18,0.75,start,migration,0.20,,,,9,2010-06-18,1,1116.75,1109.00,1112.25,1114.50,1110.75,composite,2,1114.75,1100.75,1106.25,1111.50,1104.75,above_value
2010-06-21,0.75,start,migration,0.12,,,,10,2010-06-21,1,1127.50,1103.25,1117.50,1125.75,1113.00,day,1,1116.75,1109.00,1112.25,1114.50,1110.75,above_range
2010-06-22,0.75,start,migration,0.00,,,,11,2010-06-22,1,1114.50,1089.50,1108.50,1112.25,1101.00,day,1,1127.50,1103.25,1117.50,1125.75,1113.00,below_value
2010-06-23,0.75,start,migration,0.00,,,,12,2010-06-23,1,1095.75,1080.25,1086.75,1090.50,1083.75,day,1,1114.50,1089.50,1108.50,1112.25,1101.00,below_value
2010-06-24,0.75,start,migration,0.00,,,,13,2010-06-24,1,1083.75,1066.50,1075.50,1080.75,1071.00,day,1,1095.75,1080.25,1086.75,1090.50,1083.75,below_value
2010-06-25,0.75,start,migration,0.46,,,,14,2010-06-25,1,1079.50,1062.75,1070.25,1075.50,1065.75,day,1,1083.75,1066.50,1075.50,1080.75,1071.00,in_value
2010-06-28,0.75,added,,0.86,0.72,False,0.33,14,2010-06-25,2,1079.50,1062.75,1074.75,1077.00,1068.75,day,1,1079.50,1062.75,1070.25,1075.50,1065.75,in_value
2010-06-29,0.75,start,migration,0.00,,,,15,2010-06-29,1,1055.75,1030.25,1041.75,1045.50,1035.75,composite,2,1079.50,1062.75,1074.75,1077.00,1068.75,below_range
2010-06-30,0.75,added,,1.00,0.56,False,0.33,15,2010-06-29,2,1055.75,1023.50,1041.00,1043.25,1035.00,day,1,1055.75,1030.25,1041.75,1045.50,1035.75,below_value
2010-07-01,0.75,start,migration,0.00,,,,16,2010-07-01,1,1029.75,1006.00,1022.25,1024.50,1013.25,composite,2,1055.75,1023.50,1041.00,1043.25,1035.00,below_value
2010-07-02,0.75,added,,0.92,0.47,False,0.46,16,2010-07-01,2,1029.75,1006.00,1017.00,1025.25,1014.00,day,1,1029.75,1006.00,1022.25,1024.50,1013.25,above_value
2010-07-06,0.75,added,,0.56,0.49,False,0.39,16,2010-07-01,3,1038.50,1006.00,1021.50,1025.25,1012.50,composite,2,1029.75,1006.00,1017.00,1025.25,1014.00,above_range
2010-07-07,0.75,start,migration,0.00,,,,17,2010-07-07,1,1057.50,1024.75,1039.50,1047.75,1033.50,composite,3,1038.50,1006.00,1021.50,1025.25,1012.50,above_value
2010-07-08,0.75,start,migration,0.00,,,,18,2010-07-08,1,1067.75,1054.00,1059.00,1062.75,1056.00,day,1,1057.50,1024.75,1039.50,1047.75,1033.50,above_range
2010-07-09,0.75,start,migration,0.00,,,,19,2010-07-09,1,1074.75,1064.25,1068.00,1071.75,1066.50,day,1,1067.75,1054.00,1059.00,1062.75,1056.00,above_value
2010-07-12,0.75,start,migration,0.33,,,,20,2010-07-12,1,1077.25,1066.50,1072.50,1076.25,1069.50,day,1,1074.75,1064.25,1068.00,1071.75,1066.50,in_value
2010-07-13,0.75,start,migration,0.00,,,,21,2010-07-13,1,1096.00,1084.25,1090.50,1092.75,1087.50,day,1,1077.25,1066.50,1072.50,1076.25,1069.50,above_range
2010-07-14,0.75,added,,0.78,0.58,False,1.00,21,2010-07-13,2,1096.00,1083.50,1090.50,1094.25,1087.50,day,1,1096.00,1084.25,1090.50,1092.75,1087.50,in_value
2010-07-15,0.75,start,migration,0.00,,,,22,2010-07-15,1,1095.50,1076.25,1086.75,1087.50,1079.25,composite,2,1096.00,1083.50,1090.50,1094.25,1087.50,in_value
2010-07-16,0.75,start,migration,0.00,,,,23,2010-07-16,1,1086.50,1059.00,1065.75,1075.50,1062.75,day,1,1095.50,1076.25,1086.75,1087.50,1079.25,in_value
