date,weekday,contract,n_periods,n_bars,half_day,open,high,low,close,volume,suspicious,ib_high,ib_low,ib_range,ext_up,ext_down,on_high,on_low,on_volume,on_complete,roll_day,expiring_contract,prev_ref_valid,prev_shift,row,n_rows,poc,vah,val,tpo_count,tail_up_rows,tail_down_rows,unconfirmed_up,unconfirmed_down,poor_high,poor_low,sp_above_poc,sp_below_poc,vpoc,vvah,vval,on_poc,on_vpoc,prev_high,prev_low,prev_close,prev_poc,prev_vah,prev_val,open_location
2010-06-07,Monday,6640,13,390,False,1066.75,1070.75,1048.75,1049.75,1830018,False,1070.75,1060.50,10.25,,C,1070.75,1052.00,348571,True,False,False,False,0.00,0.75,30,1061.25,1069.50,1058.25,115,2,0,False,True,False,False,0,0,1066.50,1068.75,1057.50,1060.50,1068.00,,,,,,,
2010-06-08,Tuesday,6640,13,390,False,1050.25,1063.25,1041.25,1060.50,2782585,False,1056.00,1045.75,10.25,E,C,1061.00,1045.50,409480,True,False,False,True,0.00,0.75,30,1051.50,1056.75,1047.00,151,0,0,True,False,False,True,0,0,1051.50,1055.25,1045.50,1055.25,1051.50,1070.75,1048.75,1049.75,1061.25,1069.50,1058.25,below_value
2010-06-09,Wednesday,6640,13,390,False,1067.25,1077.75,1051.25,1054.75,2219416,False,1069.00,1063.00,6.00,C,K,1068.00,1052.25,366646,True,False,False,True,0.00,0.75,37,1068.75,1077.00,1062.75,112,0,0,False,True,False,False,0,0,1066.50,1076.25,1063.50,1056.00,1066.50,1063.25,1041.25,1060.50,1051.50,1056.75,1047.00,above_range
2010-06-10,Thursday,6640,13,390,False,1073.25,1087.75,1071.75,1086.75,1267418,False,1083.25,1072.00,11.25,K,G,1074.00,1052.25,457356,True,False,True,True,0.00,0.75,22,1077.00,1082.25,1072.50,106,0,0,False,False,False,True,0,0,1077.75,1081.50,1073.25,1062.00,1065.75,1077.75,1051.25,1054.75,1068.75,1077.00,1062.75,in_value
2010-06-11,Friday,6640,13,390,False,1076.50,1092.25,1076.00,1091.50,497403,False,1088.75,1076.00,12.75,M,,1087.50,1074.50,193324,True,False,True,True,0.00,0.75,23,1083.75,1087.50,1080.75,101,0,4,True,False,False,False,0,0,1083.00,1088.25,1080.00,1083.75,1083.75,1087.75,1071.75,1086.75,1077.00,1082.25,1072.50,in_value
2010-06-14,Monday,26714,13,390,False,1095.75,1101.75,1084.25,1085.50,1647230,False,1097.50,1091.50,6.00,C,I,1096.25,1088.00,202828,False,True,False,True,-4.25,0.75,25,1092.00,1098.75,1090.50,94,3,0,False,True,False,False,0,0,1095.00,1100.25,1090.50,1089.75,1094.25,1088.00,1071.75,1087.25,1079.50,1083.25,1076.50,above_range
2010-06-15,Tuesday,26714,13,390,False,1093.00,1111.50,1091.25,1110.25,1746322,False,1097.00,1091.25,5.75,C,,1095.00,1084.25,353690,True,False,False,True,0.00,0.75,28,1098.75,1107.00,1094.25,77,0,0,True,False,False,False,0,0,1096.50,1106.25,1092.00,1088.25,1093.50,1101.75,1084.25,1085.50,1092.00,1098.75,1090.50,in_value
2010-06-16,Wednesday,26714,13,390,False,1104.50,1114.75,1102.50,1109.75,1693789,False,1109.00,1102.75,6.25,D,C,1108.50,1100.00,365517,True,False,False,True,0.00,0.75,17,1110.00,1112.25,1105.50,85,0,0,False,False,False,True,0,0,1109.25,1111.50,1104.75,1106.25,1104.00,1111.50,1091.25,1110.25,1098.75,1107.00,1094.25,in_value
2010-06-17,Thursday,26714,13,390,False,1113.00,1113.75,1100.75,1111.50,1955233,False,1113.75,1102.50,11.25,,C,1117.50,1103.50,361609,True,False,False,True,0.00,0.75,19,1106.25,1110.00,1103.25,94,2,0,False,False,False,False,0,0,1106.25,1110.00,1103.25,1106.25,1112.25,1114.75,1102.50,1109.75,1110.00,1112.25,1105.50,above_value
2010-06-18,Friday,26714,13,390,False,1113.50,1116.75,1109.00,1112.25,1202289,False,1114.75,1109.00,5.75,C,,1114.00,1108.25,292793,True,False,False,True,0.00,0.75,12,1112.25,1114.50,1110.75,71,0,0,False,False,True,False,0,0,1112.25,1114.50,1110.75,1110.75,1110.75,1113.75,1100.75,1111.50,1106.25,1110.00,1103.25,above_value
