date,half_day,r20,ib_width_r20,ib_narrow,ext_up_ib,ext_down_ib,re_up,re_down,max_tpo_row,thin_profile,tf_viol_up,tf_viol_down,close_pos,open_is_extreme,dd_split,day_type,day_dir
2010-06-07,False,,,False,0.0,1.146,False,True,9,False,0,4,0.045,,False,normal_variation,down
2010-06-08,False,,,False,0.707,0.439,True,True,12,False,0,1,0.875,,False,neutral_extreme,up
2010-06-09,False,,,False,1.458,1.958,True,True,7,False,0,0,0.132,,False,neutral_extreme,down
2010-06-10,False,,,False,0.4,0.022,True,False,10,False,0,0,0.938,low,False,normal_variation,up
2010-06-11,False,,,False,0.275,0.0,True,False,12,False,0,0,0.954,low,False,normal_variation,up
2010-06-14,False,22.0,0.273,True,0.708,1.208,True,True,9,False,0,2,0.071,,False,neutral_extreme,down
2010-06-15,False,19.75,0.291,True,2.522,0.0,True,False,6,False,3,0,0.938,low,False,normal_variation,up
2010-06-16,False,20.25,0.309,True,0.92,0.04,True,False,10,False,2,0,0.592,,False,normal_variation,up
2010-06-17,False,18.88,0.596,False,0.0,0.156,False,False,11,False,0,0,0.827,high,False,normal,
2010-06-18,False,17.5,0.329,True,0.348,0.0,True,False,13,False,0,0,0.419,,False,normal_variation,up
2010-06-21,False,16.88,0.356,True,0.0,3.042,False,True,6,False,0,2,0.237,high,False,normal_variation,down
2010-06-22,False,17.5,0.543,False,0.0,1.632,False,True,9,False,0,0,0.08,,False,trend,down
2010-06-23,False,18.88,0.636,False,0.292,0.0,True,False,12,False,0,0,0.468,,False,normal_variation,up
2010-06-24,False,17.5,0.557,False,0.0,0.769,False,True,11,False,0,3,0.188,high,False,normal_variation,down
2010-06-25,False,17.38,0.432,False,0.8,0.433,True,True,8,False,0,0,0.687,,False,neutral_center,
2010-06-28,False,17.25,0.58,False,0.2,0.0,False,False,12,False,0,0,0.292,,False,normal,
2010-06-29,False,17.0,1.074,False,0.0,0.397,False,True,10,False,0,0,0.265,high,False,normal_variation,down
2010-06-30,False,17.25,0.536,False,0.135,1.054,False,True,10,False,0,0,0.123,,False,trend,down
2010-07-01,False,17.38,0.906,False,0.0,0.508,False,True,9,False,0,0,0.716,,False,normal_variation,down
2010-07-02,False,17.5,0.557,False,0.0,0.872,False,True,9,False,0,1,0.356,,False,normal_variation,down
2010-07-06,False,17.88,0.545,False,0.0,1.564,False,True,6,False,0,1,0.41,,False,normal_variation,down
2010-07-07,False,17.88,0.629,False,1.911,0.0,True,False,6,False,2,0,0.962,low,False,normal_variation,up
2010-07-08,False,17.88,0.434,False,0.0,0.774,False,True,10,False,0,1,0.891,,False,normal_variation,down
2010-07-09,False,17.38,0.374,True,0.615,0.0,True,False,11,False,1,0,0.952,,False,normal_variation,up
2010-07-12,False,17.38,0.446,False,0.0,0.387,False,True,11,False,0,0,0.814,,False,normal_variation,down
2010-07-13,False,17.38,0.388,True,0.741,0.0,True,False,10,False,3,0,0.617,,False,normal_variation,up
2010-07-14,False,17.0,0.368,True,0.76,0.16,True,False,9,False,0,0,0.667,,False,normal_variation,up
2010-07-15,False,16.12,0.961,False,0.242,0.0,True,False,8,False,0,0,0.805,,False,normal_variation,up
2010-07-16,False,17.0,0.941,False,0.0,0.719,False,True,7,False,0,1,0.091,high,False,normal_variation,down
2010-07-19,False,17.75,0.577,False,0.171,0.195,False,False,9,False,0,0,0.804,,False,normal,
2010-07-20,False,17.75,0.451,False,2.438,0.0,True,False,6,False,1,0,0.964,low,True,double_distribution_trend,up
2010-07-21,False,17.75,0.493,False,0.0,1.8,False,True,10,False,0,3,0.194,high,True,double_distribution_trend,down
2010-07-22,False,17.75,0.775,False,0.2,0.0,False,False,12,False,0,0,0.697,low,False,normal,
2010-07-23,False,17.75,0.423,False,1.233,0.0,True,False,8,False,4,0,0.896,,False,normal_variation,up
