key,start,end,n_days,n_blocks,contract,roll_inside,spread_applied,open,high,low,close,volume,row,n_rows,poc,vah,val,tpo_count,tail_up_rows,tail_down_rows,unconfirmed_up,unconfirmed_down,poor_high,poor_low,sp_above_poc,sp_below_poc,vpoc,vvah,vval,prev_high,prev_low,prev_close,prev_poc,prev_vah,prev_val
2010-06,2010-06-07,2010-06-30,18,18,26714,True,-4.25,1057.00,1129.50,1023.00,1024.00,40241379,3.00,36,1071.00,1104.00,1041.00,151,4,0,False,True,False,False,0,0,1110.00,1113.00,1056.00,,,,,,
2010-07,2010-07-01,2010-07-30,22,22,26714,False,0.00,1024.25,1118.75,1002.75,1100.25,44281319,3.00,39,1083.00,1116.00,1053.00,185,0,0,False,False,False,False,0,3,1089.00,1110.00,1059.00,1129.50,1023.00,1024.00,1071.00,1104.00,1041.00
2010-08,2010-08-02,2010-08-31,22,22,26714,False,0.00,1104.50,1127.75,1037.00,1052.25,41926215,3.00,31,1074.00,1101.00,1038.00,168,0,0,False,False,True,True,0,0,1119.00,1127.75,1059.00,1118.75,1002.75,1100.25,1083.00,1116.00,1053.00
2010-09,2010-09-01,2010-09-30,22,22,3076,True,-5.00,1047.00,1153.50,1045.75,1136.00,37579767,2.00,55,1118.00,1148.00,1098.00,201,0,13,True,False,False,False,0,0,1138.00,1148.00,1110.00,1122.75,1032.00,1047.25,1069.00,1096.00,1033.00
2010-10,2010-10-01,2010-10-29,21,21,3076,False,0.00,1136.00,1193.00,1127.00,1180.50,41791492,2.00,34,1174.00,1184.00,1154.00,189,3,3,False,False,False,False,0,0,1178.00,1184.00,1158.00,1153.50,1045.75,1136.00,1118.00,1148.00,1098.00
2010-11,2010-11-01,2010-11-30,22,22,3076,False,0.00,1180.50,1224.75,1171.00,1178.25,45221289,2.00,28,1192.00,1206.00,1172.00,207,0,0,False,False,True,False,0,0,1178.00,1204.00,1174.00,1193.00,1127.00,1180.50,1174.00,1184.00,1154.00
2010-12,2010-12-01,2010-12-31,22,22,70248,True,-5.00,1173.50,1258.50,1171.25,1257.50,27066328,2.00,45,1234.00,1252.00,1210.00,144,0,13,False,False,False,False,0,2,1238.00,1244.00,1210.00,1219.75,1166.00,1173.25,1187.00,1201.00,1167.00
2011-01,2011-01-03,2011-01-31,21,21,70248,False,0.00,1256.00,1299.50,1255.25,1282.00,38538966,2.00,23,1276.00,1290.00,1264.00,171,0,0,False,False,True,True,0,0,1282.00,1288.00,1266.00,1258.50,1171.25,1257.50,1234.00,1252.00,1210.00
2011-02,2011-02-01,2011-02-28,20,20,70248,False,0.00,1282.00,1343.00,1281.25,1326.25,36130556,1.00,63,1313.00,1328.00,1297.00,295,0,10,False,False,False,False,0,0,1316.00,1335.00,1304.00,1299.50,1255.25,1282.00,1276.00,1290.00,1264.00
2011-03,2011-03-01,2011-03-31,23,23,75884,True,-4.50,1322.00,1332.00,1241.25,1321.25,49506211,2.00,47,1306.00,1324.00,1282.00,279,0,0,False,False,False,False,0,0,1310.00,1328.00,1286.00,1338.50,1276.75,1321.75,1308.50,1323.50,1292.50
2011-04,2011-04-01,2011-04-29,20,20,75884,False,0.00,1321.50,1363.75,1290.25,1363.50,32570879,2.00,37,1328.00,1338.00,1304.00,161,0,2,True,False,False,False,0,0,1328.00,1334.00,1304.00,1332.00,1241.25,1321.25,1306.00,1324.00,1282.00
2011-05,2011-05-02,2011-05-31,22,22,75884,False,0.00,1363.25,1373.50,1302.25,1344.00,44628874,2.00,36,1338.00,1352.00,1322.00,202,7,4,False,False,False,False,0,0,1336.00,1350.00,1324.00,1363.75,1290.25,1363.50,1328.00,1338.00,1304.00
2011-06,2011-06-01,2011-06-30,22,22,49278,True,-5.25,1339.00,1342.50,1252.25,1315.25,48929475,2.00,46,1280.00,1294.00,1260.00,234,13,0,False,False,False,False,0,0,1266.00,1292.00,1258.00,1368.25,1297.00,1338.75,1332.75,1346.75,1316.75
2011-07,2011-07-01,2011-07-29,21,21,49278,False,0.00,1315.25,1354.50,1278.50,1292.50,42981194,2.00,39,1328.00,1338.00,1304.00,229,0,0,False,True,False,False,0,0,1334.00,1340.00,1306.00,1342.50,1252.25,1315.25,1280.00,1294.00,1260.00
2011-08,2011-08-01,2011-08-31,23,23,49278,False,0.00,1306.00,1309.75,1077.00,1217.75,82156324,2.00,117,1176.00,1202.00,1116.00,552,12,13,False,False,False,False,2,0,1138.00,1204.00,1122.00,1354.50,1278.50,1292.50,1328.00,1338.00,1304.00
2011-09,2011-09-01,2011-09-30,22,22,45580,True,-5.75,1212.00,1222.75,1102.00,1122.25,59382262,4.00,31,1156.00,1192.00,1132.00,217,2,0,False,False,False,False,0,0,1188.00,1208.00,1140.00,1304.00,1071.25,1212.00,1170.25,1196.25,1110.25
2011-10,2011-10-03,2011-10-31,21,21,45580,False,0.00,1123.00,1289.25,1068.00,1242.00,54805619,4.00,56,1192.00,1284.00,1168.00,190,0,4,False,False,False,False,0,0,1208.00,1284.00,1176.00,1222.75,1102.00,1122.25,1156.00,1192.00,1132.00
2011-11,2011-11-01,2011-11-30,22,22,45580,False,0.00,1242.25,1275.25,1147.50,1245.25,53533614,4.00,33,1232.00,1268.00,1208.00,188,0,3,False,False,True,False,0,0,1244.00,1264.00,1204.00,1289.25,1068.00,1242.00,1192.00,1284.00,1168.00
2011-12,2011-12-01,2011-12-30,21,21,31747,True,-5.50,1239.25,1266.50,1195.50,1253.00,35714766,3.00,25,1242.00,1263.00,1224.00,181,0,0,False,False,False,False,0,0,1248.00,1263.00,1224.00,1269.75,1142.00,1239.75,1226.50,1262.50,1202.50
2012-01,2012-01-03,2012-01-31,21,21,31747,False,0.00,1274.75,1329.75,1259.75,1307.25,34538678,3.00,25,1308.00,1317.00,1278.00,124,2,0,False,False,False,False,0,0,1308.00,1317.00,1278.00,1266.50,1195.50,1253.00,1242.00,1263.00,1224.00
2012-02,2012-02-01,2012-02-29,21,21,31747,False,0.00,1307.25,1377.25,1303.75,1359.25,32329818,2.00,38,1340.00,1370.00,1336.00,166,0,7,True,False,False,False,0,0,1344.00,1366.00,1336.00,1329.75,1259.75,1307.25,1308.00,1317.00,1278.00
2012-03,2012-03-01,2012-03-30,22,22,27069,True,-5.75,1354.00,1419.75,1332.75,1404.00,33795022,2.00,44,1394.00,1419.75,1366.00,188,0,2,False,False,False,False,0,4,1396.00,1414.00,1364.00,1371.50,1298.00,1353.50,1334.25,1364.25,1330.25
2012-04,2012-04-02,2012-04-30,21,21,27069,False,0.00,1407.25,1417.75,1352.50,1395.75,35859575,2.00,33,1374.00,1392.00,1362.00,212,0,0,False,False,False,False,0,0,1382.00,1396.00,1362.00,1419.75,1332.75,1404.00,1394.00,1419.75,1366.00
2012-05,2012-05-01,2012-05-31,23,23,27069,False,0.00,1395.25,1411.75,1287.25,1306.25,47136428,2.00,63,1324.00,1358.00,1296.00,268,3,0,False,False,False,False,6,0,1314.00,1352.00,1298.00,1417.75,1352.50,1395.75,1374.00,1392.00,1362.00
2012-06,2012-06-01,2012-06-29,21,21,3366,True,-6.75,1299.50,1359.50,1255.25,1358.25,45186649,2.00,53,1318.00,1344.00,1298.00,267,0,3,False,False,False,False,0,0,1316.00,1346.00,1300.00,1405.00,1280.50,1299.50,1317.25,1351.25,1289.25
2012-07,2012-07-02,2012-07-31,22,22,3366,False,0.00,1358.75,1387.50,1319.75,1372.75,38530391,3.00,24,1350.00,1371.00,1332.00,157,0,0,False,False,True,False,0,0,1347.00,1368.00,1329.00,1359.50,1255.25,1358.25,1318.00,1344.00,1298.00
2012-08,2012-08-01,2012-08-31,23,23,3366,False,0.00,1373.00,1424.75,1349.25,1404.75,33176892,2.00,39,1400.00,1418.00,1392.00,180,3,6,False,False,False,False,0,0,1398.00,1416.00,1394.00,1387.50,1319.75,1372.75,1350.00,1371.00,1332.00
2012-09,2012-09-03,2012-09-28,20,20,10113,True,-6.50,1399.75,1468.25,1388.00,1434.25,28590376,2.00,41,1450.00,1460.00,1422.00,162,3,0,False,False,False,False,0,5,1428.00,1454.00,1420.00,1418.25,1342.75,1398.25,1393.50,1411.50,1385.50
2012-10,2012-10-01,2012-10-31,23,23,10113,False,0.00,1432.75,1466.00,1393.00,1401.25,36837681,2.00,38,1434.00,1456.00,1414.00,220,4,0,False,False,False,False,0,0,1406.00,1444.00,1398.00,1468.25,1388.00,1434.25,1450.00,1460.00,1422.00
2012-11,2012-11-01,2012-11-30,21,21,10113,False,0.00,1401.50,1431.75,1340.25,1415.75,39130837,2.00,46,1404.00,1422.00,1372.00,228,0,2,False,False,True,False,0,0,1378.00,1420.00,1374.00,1466.00,1393.00,1401.25,1434.00,1456.00,1414.00
2012-12,2012-12-03,2012-12-31,20,20,23970,True,-6.00,1407.25,1446.00,1382.25,1423.75,27936685,2.00,33,1414.00,1428.00,1398.00,212,2,0,False,False,False,True,0,0,1404.00,1426.00,1400.00,1425.75,1334.25,1409.75,1398.00,1416.00,1366.00
2013-01,2013-01-02,2013-01-31,21,21,23970,False,0.00,1443.00,1506.00,1438.25,1496.00,30404273,2.00,35,1460.00,1490.00,1448.00,146,0,4,False,False,False,False,0,0,1494.00,1504.00,1458.00,1446.00,1382.25,1423.75,1414.00,1428.00,1398.00
2013-02,2013-02-01,2013-02-28,19,19,23970,False,0.00,1496.00,1530.00,1481.75,1512.25,35384366,2.00,26,1508.00,1522.00,1496.00,172,0,0,False,False,False,False,0,0,1512.00,1522.00,1500.00,1506.00,1438.25,1496.00,1460.00,1490.00,1448.00
2013-03,2013-03-01,2013-03-28,20,20,11561,True,-5.50,1507.00,1564.50,1494.00,1563.75,32832393,2.00,36,1548.00,1558.00,1532.00,168,0,3,True,False,False,False,0,4,1548.00,1558.00,1536.00,1524.50,1476.25,1506.75,1502.50,1516.50,1490.50
2013-04,2013-04-01,2013-04-30,22,22,11561,False,0.00,1563.00,1594.25,1530.75,1594.00,40918053,2.00,33,1554.00,1576.00,1542.00,232,0,0,False,False,False,False,0,0,1546.00,1576.00,1538.00,1564.50,1494.00,1563.75,1548.00,1558.00,1532.00
2013-05,2013-05-01,2013-05-31,22,22,11561,False,0.00,1593.75,1685.75,1576.00,1627.50,42581696,2.00,55,1648.00,1666.00,1620.00,218,6,0,False,False,False,False,0,5,1656.00,1678.00,1624.00,1594.25,1530.75,1594.00,1554.00,1576.00,1542.00
2013-06,2013-06-03,2013-06-28,20,20,17704,True,-6.25,1623.25,1649.00,1553.25,1596.25,44666880,2.00,49,1614.00,1640.00,1594.00,280,0,3,False,False,True,False,0,0,1630.00,1640.00,1598.00,1679.50,1569.75,1621.25,1641.75,1659.75,1613.75
2013-07,2013-07-01,2013-07-31,22,22,17704,False,0.00,1600.25,1695.50,1593.25,1685.25,28963417,3.00,35,1677.00,1695.50,1641.00,128,0,0,False,False,True,True,0,4,1683.00,1695.50,1647.00,1649.00,1553.25,1596.25,1614.00,1640.00,1594.00
2013-08,2013-08-01,2013-08-30,22,22,17704,False,0.00,1685.50,1705.00,1624.75,1632.25,34642059,2.00,41,1654.00,1684.00,1624.75,198,0,0,False,False,True,True,3,0,1686.00,1705.00,1646.00,1695.50,1593.25,1685.25,1677.00,1695.50,1641.00
2013-09,2013-09-03,2013-09-30,20,20,28112,True,-6.75,1640.75,1726.75,1624.00,1678.75,30951956,2.00,52,1692.00,1722.00,1664.00,172,2,2,False,False,False,False,0,2,1674.00,1720.00,1670.00,1698.25,1618.00,1625.50,1647.25,1677.25,1618.00
