key,start,end,n_days,n_blocks,contract,roll_inside,spread_applied,open,high,low,close,volume,row,n_rows,poc,vah,val,tpo_count,tail_up_rows,tail_down_rows,unconfirmed_up,unconfirmed_down,poor_high,poor_low,sp_above_poc,sp_below_poc,vpoc,vvah,vval,prev_high,prev_low,prev_close,prev_poc,prev_vah,prev_val
2010-06,2010-06-07,2010-06-30,18,18,26714,True,-4.25,1057.00,1129.50,1023.00,1024.00,40241379,8.00,15,1064.00,1120.00,1048.00,69,2,0,False,False,False,False,0,0,1104.00,1112.00,1040.00,,,,,,
2010-07,2010-07-01,2010-07-30,22,22,26714,False,0.00,1024.25,1118.75,1002.75,1100.25,44281319,8.00,15,1080.00,1118.75,1048.00,79,0,0,False,False,True,True,0,0,1088.00,1112.00,1056.00,1129.50,1023.00,1024.00,1064.00,1120.00,1048.00
2010-08,2010-08-02,2010-08-31,22,22,26714,False,0.00,1104.50,1127.75,1037.00,1052.25,41926215,8.00,12,1072.00,1112.00,1040.00,75,0,0,False,False,True,True,0,0,1048.00,1120.00,1048.00,1118.75,1002.75,1100.25,1080.00,1118.75,1048.00
2010-09,2010-09-01,2010-09-30,22,22,3076,True,-5.00,1047.00,1153.50,1045.75,1136.00,37579767,8.00,15,1120.00,1144.00,1088.00,68,0,3,False,False,False,False,0,0,1136.00,1144.00,1104.00,1122.75,1032.00,1047.25,1067.00,1107.00,1035.00
2010-10,2010-10-01,2010-10-29,21,21,3076,False,0.00,1136.00,1193.00,1127.00,1180.50,41791492,8.00,10,1160.00,1184.00,1144.00,66,0,0,False,False,False,False,0,0,1176.00,1184.00,1144.00,1153.50,1045.75,1136.00,1120.00,1144.00,1088.00
2010-11,2010-11-01,2010-11-30,22,22,3076,False,0.00,1180.50,1224.75,1171.00,1178.25,45221289,8.00,8,1192.00,1216.00,1176.00,70,0,0,False,False,True,True,0,0,1184.00,1208.00,1171.00,1193.00,1127.00,1180.50,1160.00,1184.00,1144.00
2010-12,2010-12-01,2010-12-31,22,22,70248,True,-5.00,1173.50,1258.50,1171.25,1257.50,27066328,8.00,12,1232.00,1256.00,1216.00,50,0,3,False,False,True,False,0,0,1232.00,1256.00,1216.00,1219.75,1166.00,1173.25,1187.00,1211.00,1171.00
2011-01,2011-01-03,2011-01-31,21,21,70248,False,0.00,1256.00,1299.50,1255.25,1282.00,38538966,8.00,7,1272.00,1296.00,1256.00,62,0,0,False,False,True,True,0,0,1280.00,1288.00,1264.00,1258.50,1171.25,1257.50,1232.00,1256.00,1216.00
2011-02,2011-02-01,2011-02-28,20,20,70248,False,0.00,1282.00,1343.00,1281.25,1326.25,36130556,8.00,8,1304.00,1343.00,1304.00,57,0,0,False,False,True,False,0,0,1312.00,1336.00,1296.00,1299.50,1255.25,1282.00,1272.00,1296.00,1256.00
2011-03,2011-03-01,2011-03-31,23,23,75884,True,-4.50,1322.00,1332.00,1241.25,1321.25,49506211,8.00,12,1296.00,1320.00,1264.00,88,0,0,False,False,True,True,0,0,1304.00,1328.00,1288.00,1338.50,1276.75,1321.75,1299.50,1338.50,1299.50
2011-04,2011-04-01,2011-04-29,20,20,75884,False,0.00,1321.50,1363.75,1290.25,1363.50,32570879,8.00,10,1328.00,1336.00,1296.00,52,0,0,False,False,False,True,0,0,1328.00,1336.00,1296.00,1332.00,1241.25,1321.25,1296.00,1320.00,1264.00
2011-05,2011-05-02,2011-05-31,22,22,75884,False,0.00,1363.25,1373.50,1302.25,1344.00,44628874,8.00,10,1328.00,1352.00,1312.00,66,2,0,False,False,False,False,0,0,1336.00,1360.00,1320.00,1363.75,1290.25,1363.50,1328.00,1336.00,1296.00
2011-06,2011-06-01,2011-06-30,22,22,49278,True,-5.25,1339.00,1342.50,1252.25,1315.25,48929475,8.00,12,1272.00,1296.00,1256.00,75,3,0,False,False,False,True,0,0,1264.00,1304.00,1264.00,1368.25,1297.00,1338.75,1322.75,1346.75,1306.75
2011-07,2011-07-01,2011-07-29,21,21,49278,False,0.00,1315.25,1354.50,1278.50,1292.50,42981194,8.00,11,1312.00,1336.00,1296.00,76,0,0,False,True,True,False,0,0,1328.00,1336.00,1296.00,1342.50,1252.25,1315.25,1272.00,1296.00,1256.00
2011-08,2011-08-01,2011-08-31,23,23,49278,False,0.00,1306.00,1309.75,1077.00,1217.75,82156324,8.00,30,1176.00,1200.00,1112.00,158,3,3,False,False,False,False,0,0,1136.00,1208.00,1120.00,1354.50,1278.50,1292.50,1312.00,1336.00,1296.00
2011-09,2011-09-01,2011-09-30,22,22,45580,True,-5.75,1212.00,1222.75,1102.00,1122.25,59382262,8.00,16,1152.00,1208.00,1136.00,118,0,0,False,False,False,False,0,0,1184.00,1192.00,1120.00,1304.00,1071.25,1212.00,1170.25,1194.25,1106.25
2011-10,2011-10-03,2011-10-31,21,21,45580,False,0.00,1123.00,1289.25,1068.00,1242.00,54805619,8.00,29,1216.00,1272.00,1136.00,103,0,2,False,False,False,False,0,0,1200.00,1288.00,1168.00,1222.75,1102.00,1122.25,1152.00,1208.00,1136.00
2011-11,2011-11-01,2011-11-30,22,22,45580,False,0.00,1242.25,1275.25,1147.50,1245.25,53533614,8.00,17,1232.00,1272.00,1200.00,104,0,0,False,False,True,False,0,0,1240.00,1264.00,1192.00,1289.25,1068.00,1242.00,1216.00,1272.00,1136.00
2011-12,2011-12-01,2011-12-30,21,21,31747,True,-5.50,1239.25,1266.50,1195.50,1253.00,35714766,8.00,10,1240.00,1264.00,1224.00,80,0,0,False,False,True,True,0,0,1248.00,1256.00,1216.00,1269.75,1142.00,1239.75,1226.50,1266.50,1194.50
2012-01,2012-01-03,2012-01-31,21,21,31747,False,0.00,1274.75,1329.75,1259.75,1307.25,34538678,8.00,10,1304.00,1312.00,1272.00,59,0,0,False,False,False,True,0,0,1304.00,1312.00,1272.00,1266.50,1195.50,1253.00,1240.00,1264.00,1224.00
2012-02,2012-02-01,2012-02-29,21,21,31747,False,0.00,1307.25,1377.25,1303.75,1359.25,32329818,8.00,11,1352.00,1376.00,1336.00,57,0,2,False,False,False,False,0,0,1336.00,1376.00,1336.00,1329.75,1259.75,1307.25,1304.00,1312.00,1272.00
2012-03,2012-03-01,2012-03-30,22,22,27069,True,-5.75,1354.00,1419.75,1332.75,1404.00,33795022,8.00,12,1392.00,1416.00,1360.00,64,0,0,False,False,True,False,0,0,1392.00,1416.00,1360.00,1371.50,1298.00,1353.50,1346.25,1370.25,1330.25
2012-04,2012-04-02,2012-04-30,21,21,27069,False,0.00,1407.25,1417.75,1352.50,1395.75,35859575,8.00,9,1368.00,1408.00,1352.50,67,0,0,False,False,False,True,0,0,1376.00,1400.00,1360.00,1419.75,1332.75,1404.00,1392.00,1416.00,1360.00
2012-05,2012-05-01,2012-05-31,23,23,27069,False,0.00,1395.25,1411.75,1287.25,1306.25,47136428,8.00,17,1312.00,1368.00,1296.00,83,0,0,False,False,False,False,0,0,1312.00,1352.00,1296.00,1417.75,1352.50,1395.75,1368.00,1408.00,1352.50
2012-06,2012-06-01,2012-06-29,21,21,3366,True,-6.75,1299.50,1359.50,1255.25,1358.25,45186649,8.00,14,1320.00,1344.00,1288.00,83,0,0,False,False,True,False,0,0,1312.00,1352.00,1296.00,1405.00,1280.50,1299.50,1305.25,1361.25,1289.25
2012-07,2012-07-02,2012-07-31,22,22,3366,False,0.00,1358.75,1387.50,1319.75,1372.75,38530391,8.00,10,1352.00,1376.00,1336.00,75,0,0,False,False,True,False,0,0,1344.00,1368.00,1328.00,1359.50,1255.25,1358.25,1320.00,1344.00,1288.00
2012-08,2012-08-01,2012-08-31,23,23,3366,False,0.00,1373.00,1424.75,1349.25,1404.75,33176892,8.00,11,1400.00,1424.00,1384.00,61,0,2,False,False,False,False,0,0,1400.00,1424.00,1384.00,1387.50,1319.75,1372.75,1352.00,1376.00,1336.00
2012-09,2012-09-03,2012-09-28,20,20,10113,True,-6.50,1399.75,1468.25,1388.00,1434.25,28590376,8.00,11,1424.00,1464.00,1408.00,56,0,0,False,False,False,True,0,0,1424.00,1464.00,1424.00,1418.25,1342.75,1398.25,1393.50,1417.50,1377.50
2012-10,2012-10-01,2012-10-31,23,23,10113,False,0.00,1432.75,1466.00,1393.00,1401.25,36837681,8.00,10,1432.00,1456.00,1416.00,72,0,0,False,False,False,True,0,0,1448.00,1456.00,1400.00,1468.25,1388.00,1434.25,1424.00,1464.00,1408.00
2012-11,2012-11-01,2012-11-30,21,21,10113,False,0.00,1401.50,1431.75,1340.25,1415.75,39130837,8.00,12,1376.00,1416.00,1360.00,71,0,0,False,False,True,False,0,0,1376.00,1431.75,1376.00,1466.00,1393.00,1401.25,1432.00,1456.00,1416.00
2012-12,2012-12-03,2012-12-31,20,20,23970,True,-6.00,1407.25,1446.00,1382.25,1423.75,27936685,8.00,9,1408.00,1432.00,1392.00,71,0,0,False,False,True,True,0,0,1400.00,1440.00,1400.00,1425.75,1334.25,1409.75,1370.00,1410.00,1354.00
2013-01,2013-01-02,2013-01-31,21,21,23970,False,0.00,1443.00,1506.00,1438.25,1496.00,30404273,8.00,10,1456.00,1496.00,1440.00,54,0,0,False,False,True,False,0,0,1456.00,1496.00,1440.00,1446.00,1382.25,1423.75,1408.00,1432.00,1392.00
2013-02,2013-02-01,2013-02-28,19,19,23970,False,0.00,1496.00,1530.00,1481.75,1512.25,35384366,8.00,7,1504.00,1528.00,1488.00,58,0,0,False,False,True,True,0,0,1512.00,1520.00,1496.00,1506.00,1438.25,1496.00,1456.00,1496.00,1440.00
2013-03,2013-03-01,2013-03-28,20,20,11561,True,-5.50,1507.00,1564.50,1494.00,1563.75,32832393,8.00,10,1544.00,1564.50,1528.00,57,0,0,False,False,True,False,0,0,1544.00,1564.50,1528.00,1524.50,1476.25,1506.75,1498.50,1522.50,1482.50
2013-04,2013-04-01,2013-04-30,22,22,11561,False,0.00,1563.00,1594.25,1530.75,1594.00,40918053,8.00,9,1552.00,1576.00,1536.00,77,0,0,False,False,True,True,0,0,1544.00,1584.00,1544.00,1564.50,1494.00,1563.75,1544.00,1564.50,1528.00
2013-05,2013-05-01,2013-05-31,22,22,11561,False,0.00,1593.75,1685.75,1576.00,1627.50,42581696,8.00,14,1648.00,1672.00,1616.00,71,0,0,False,False,False,True,0,0,1648.00,1672.00,1616.00,1594.25,1530.75,1594.00,1552.00,1576.00,1536.00
2013-06,2013-06-03,2013-06-28,20,20,17704,True,-6.25,1623.25,1649.00,1553.25,1596.25,44666880,8.00,13,1616.00,1640.00,1584.00,87,0,0,False,False,True,True,0,0,1624.00,1648.00,1592.00,1679.50,1569.75,1621.25,1641.75,1665.75,1609.75
