date,open,ib_high,ib_low,open_type_day,open_dir_day,trigger_day,c1030_day,ib_break_day,open_zone_day,open_accept_day,open_type_comp,open_dir_comp,trigger_comp,c1030_comp,ib_break_comp,open_zone_comp,open_accept_comp
2010-06-07,1066.75,1070.75,1060.50,,,,,,,,,,,,,,
2010-06-08,1050.25,1056.00,1045.75,open_drive,down,,1049.75,True,below_value,True,open_drive,down,,1049.75,True,below_value,True
2010-06-09,1067.25,1069.00,1063.00,open_test_drive,up,range,1066.75,True,above_range,True,open_test_drive,up,range,1066.75,True,above_range,True
2010-06-10,1073.25,1083.25,1072.00,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-11,1076.50,1088.75,1076.00,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-14,1095.75,1097.50,1091.50,open_drive,up,,1096.50,True,above_range,True,open_drive,up,,1096.50,True,above_range,True
2010-06-15,1093.00,1097.00,1091.25,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-16,1104.50,1109.00,1102.75,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-17,1113.00,1113.75,1102.50,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-18,1113.50,1114.75,1109.00,open_test_drive,up,va,1114.00,True,above_value,True,open_test_drive,up,va,1114.00,True,above_value,True
2010-06-21,1126.50,1127.50,1121.50,open_drive,up,,1122.50,False,above_range,True,open_drive,up,,1122.50,False,above_range,True
2010-06-22,1109.75,1114.50,1105.00,open_test_drive,down,va,1107.50,True,below_value,True,open_test_drive,down,va,1107.50,True,below_value,True
2010-06-23,1091.75,1092.25,1080.25,open_drive,down,,1082.00,False,below_value,True,open_drive,down,,1082.00,False,below_value,True
2010-06-24,1082.50,1083.75,1074.00,open_auction_in,,,,False,in_value,False,open_auction_in,,,,False,in_value,False
2010-06-25,1072.75,1073.50,1066.00,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-28,1075.50,1076.50,1066.50,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-06-29,1055.50,1055.75,1037.50,open_drive,down,,1038.25,False,below_range,True,open_drive,down,,1038.25,False,below_range,True
2010-06-30,1034.00,1042.50,1033.25,open_rejection_reverse,up,va,1038.50,False,below_value,True,open_rejection_reverse,up,va,1038.50,False,below_value,True
2010-07-01,1026.25,1029.75,1014.00,open_drive,down,,1016.25,True,below_value,True,open_drive,down,,1016.25,True,below_value,True
2010-07-02,1026.00,1029.00,1019.25,open_rejection_reverse,down,va,1023.50,False,above_value,True,open_rejection_reverse,down,va,1023.50,False,above_value,True
2010-07-06,1031.25,1038.50,1028.75,open_drive,up,,1035.50,False,above_range,True,open_auction_out,,range,1035.50,False,above_range,True
2010-07-07,1025.75,1036.00,1024.75,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-07-08,1064.50,1067.75,1060.00,open_auction_out,,a_blurred,1064.00,False,above_range,True,open_auction_out,,a_blurred,1064.00,False,above_range,True
2010-07-09,1066.25,1070.75,1064.25,open_test_drive,up,va,1069.00,True,above_value,True,open_test_drive,up,va,1069.00,True,above_value,True
2010-07-12,1071.00,1077.25,1069.50,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-07-13,1086.25,1091.00,1084.25,open_drive,up,,1088.75,False,above_range,True,open_drive,up,,1088.75,False,above_range,True
2010-07-14,1087.75,1090.75,1084.50,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-07-15,1091.25,1091.75,1076.25,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-07-16,1085.75,1086.50,1070.50,open_auction_in,,,,False,in_value,False,open_auction_in,,,,False,in_value,False
2010-07-19,1065.25,1069.25,1059.00,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
2010-07-20,1053.25,1061.00,1053.00,open_auction_out,,va,1059.50,False,below_range,True,open_auction_out,,va,1059.50,False,below_range,True
2010-07-21,1085.00,1085.50,1076.75,open_auction_out,,range,1081.25,False,above_range,True,open_auction_out,,range,1081.25,False,above_range,True
2010-07-22,1078.25,1091.75,1078.00,open_auction_in,,,,False,in_value,False,open_auction_in,,,,False,in_value,False
2010-07-23,1087.25,1091.50,1084.00,open_auction_in,,,,False,in_value,True,open_auction_in,,,,False,in_value,True
