switch_ny,old,new,spread
2010-06-13 20:00:00,6640,26714,-4.25
2010-09-12 20:00:00,26714,3076,-5.0
2010-12-12 19:00:00,3076,70248,-5.0
2011-03-13 20:00:00,70248,75884,-4.5
2011-06-12 20:00:00,75884,49278,-5.25
2011-09-11 20:00:00,49278,45580,-5.75
2011-12-11 19:00:00,45580,31747,-5.5
2012-03-12 20:00:00,31747,27069,-5.75
2012-06-10 20:00:00,27069,3366,-6.75
2012-09-16 20:00:00,3366,10113,-6.5
2012-12-16 19:00:00,10113,23970,-6.0
2013-03-11 20:00:00,23970,11561,-5.5
2013-06-16 20:00:00,11561,17704,-6.25
2013-09-15 20:00:00,17704,28112,-6.75
2013-12-15 19:00:00,28112,382206,-6.0
2014-03-16 20:00:00,382206,8347,-7.0
2014-06-15 20:00:00,8347,111473,-7.0
2014-09-14 20:00:00,111473,28095,-8.0
2014-12-14 19:00:00,28095,50393,-6.75
2015-03-15 20:00:00,50393,85974,-7.75
2015-06-14 20:00:00,85974,58738,-8.25
2015-09-13 20:00:00,58738,13950,-10.0
2015-12-13 19:00:00,13950,49705,-8.5
2016-03-13 20:00:00,49705,6505,-9.25
2016-06-12 20:00:00,6505,2615,-9.25
2016-09-11 20:00:00,2615,2928,-6.75
2016-12-12 19:00:00,2928,35903,-5.5
2017-03-12 20:00:00,35903,9006,-3.0
2017-06-11 20:00:00,9006,24842,-2.0
2017-09-10 20:00:00,24842,23936,-1.75
2017-12-10 19:00:00,23936,21168,3.0
2018-03-13 20:00:00,21168,23252,4.25
2018-06-12 20:00:00,23252,57287,4.25
2018-09-16 20:00:00,57287,16114,5.25
2018-12-16 19:00:00,16114,18720,3.5
2019-03-10 20:00:00,18720,736,4.5
2019-06-16 20:00:00,736,37699,4.25
2019-09-15 20:00:00,37699,16145,2.0
2019-12-15 19:00:00,16145,10571,3.0
2020-03-17 20:00:00,10571,21336,-14.5
2020-06-16 20:00:00,21336,12181,-10.75
2020-09-13 20:00:00,12181,19100,-10.5
2020-12-13 19:00:00,19100,5482,-7.25
2021-03-14 20:00:00,5482,3853,-9.0
2021-06-13 20:00:00,3853,1030,-9.0
2021-09-12 20:00:00,1030,8858,-9.25
2021-12-12 19:00:00,8858,5782,-7.5
2022-03-13 20:00:00,5782,3403,-9.5
2022-06-14 20:00:00,3403,97042,3.25
2022-09-13 20:00:00,97042,206323,19.0
2022-12-13 19:00:00,206323,206299,33.5
2023-03-14 20:00:00,206299,95414,33.0
2023-06-13 20:00:00,95414,3445,45.25
2023-09-12 20:00:00,3445,314863,48.75
2023-12-12 19:00:00,314863,17077,52.0
2024-03-12 20:00:00,17077,5602,63.25
2024-06-18 20:00:00,5602,118,69.25
2024-09-17 20:00:00,118,183748,61.5
2024-12-17 19:00:00,183748,5002,74.0
2025-03-18 20:00:00,5002,4916,51.25
2025-06-17 20:00:00,4916,14160,53.75
2025-09-16 20:00:00,14160,294973,57.0
2025-12-16 19:00:00,294973,42140878,55.0
2026-03-17 20:00:00,42140878,42140864,51.5
2026-06-16 20:00:00,42140864,42140870,68.25
