week_monday,day_median,target_day,adaptive_day,adaptive_changed,adaptive_week,adaptive_month,fixed_day,fixed_week,fixed_month
2010-06-07,17.88,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-06-14,22.0,1.0,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-06-21,16.88,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-06-28,17.25,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-07-05,17.88,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-07-12,17.38,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-07-19,17.75,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-07-26,17.5,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-08-02,16.62,0.75,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-08-09,14.0,0.5,0.75,False,1.5,3.0,2.0,4.0,8.0
2010-08-16,14.12,0.5,0.5,True,1.0,3.0,2.0,4.0,8.0
2010-08-23,14.12,0.5,0.5,False,1.0,3.0,2.0,4.0,8.0
2010-08-30,14.62,0.5,0.5,False,1.0,3.0,2.0,4.0,8.0
2010-09-06,15.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-09-13,14.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-09-20,11.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-09-27,12.38,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-10-04,11.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-10-11,12.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-10-18,13.38,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-10-25,13.25,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-11-01,12.88,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-11-08,12.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-11-15,12.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-11-22,11.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-11-29,11.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-12-06,11.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-12-13,11.0,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-12-20,10.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2010-12-27,9.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-01-03,7.0,0.25,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-01-10,7.75,0.25,0.25,True,0.5,2.0,2.0,4.0,8.0
2011-01-17,7.38,0.25,0.25,False,0.5,2.0,2.0,4.0,8.0
2011-01-24,8.25,0.25,0.25,False,0.5,2.0,2.0,4.0,8.0
2011-01-31,9.88,0.5,0.25,False,0.5,2.0,2.0,4.0,8.0
2011-02-07,10.0,0.5,0.5,True,1.0,1.0,2.0,4.0,8.0
2011-02-14,10.38,0.5,0.5,False,1.0,1.0,2.0,4.0,8.0
2011-02-21,10.0,0.5,0.5,False,1.0,1.0,2.0,4.0,8.0
2011-02-28,10.38,0.5,0.5,False,1.0,1.0,2.0,4.0,8.0
2011-03-07,10.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-03-14,12.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-03-21,15.88,0.75,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-03-28,14.25,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-04-04,13.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-04-11,11.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-04-18,9.88,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-04-25,9.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-05-02,9.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-05-09,12.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-05-16,11.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-05-23,12.62,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-05-30,13.88,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-06-06,13.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-06-13,13.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-06-20,13.12,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-06-27,13.75,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-07-04,14.5,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-07-11,13.75,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-07-18,14.0,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-07-25,14.25,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-08-01,14.88,0.5,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-08-08,17.12,0.75,0.5,False,1.0,2.0,2.0,4.0,8.0
2011-08-15,22.25,1.0,1.0,True,2.0,2.0,2.0,4.0,8.0
2011-08-22,29.0,1.0,1.0,False,2.0,2.0,2.0,4.0,8.0
2011-08-29,34.38,1.5,1.0,False,2.0,2.0,2.0,4.0,8.0
2011-09-05,27.12,1.0,1.0,False,2.0,4.0,2.0,4.0,8.0
2011-09-12,25.25,1.0,1.0,False,2.0,4.0,2.0,4.0,8.0
2011-09-19,25.75,1.0,1.0,False,2.0,4.0,2.0,4.0,8.0
2011-09-26,22.25,1.0,1.0,False,2.0,4.0,2.0,4.0,8.0
2011-10-03,25.88,1.0,1.0,False,2.0,4.0,2.0,4.0,8.0
